  X         Y          Z
  78.7083  15.9163    471.00
  78.7250  15.9163    517.00
  78.7417  15.9163    563.00
  78.7583  15.9163    617.00
  78.7750  15.9163    615.00
  78.7917  15.9163    629.00
  78.8083  15.9163    651.00
  78.8250  15.9163    677.00
  78.8417  15.9163    673.00
  78.8583  15.9163    681.00
  78.8750  15.9163    595.00
  78.8917  15.9163    557.00
  78.9083  15.9163    545.00
  78.9250  15.9163    583.00
  78.9417  15.9163    511.00
  78.9583  15.9163    421.00
  78.9750  15.9163    295.00
  78.9917  15.9163    293.00
  79.0083  15.9163    313.00
  79.0250  15.9163    281.00
  79.0417  15.9163    261.00
  79.0583  15.9163    253.00
  79.0750  15.9163    223.00
  79.0917  15.9163    213.00
  79.1083  15.9163    207.00
  79.1250  15.9163    205.00
  79.1417  15.9163    209.00
  79.1583  15.9163    209.00
  79.1750  15.9163    209.00
  79.1917  15.9163    213.00
  79.2083  15.9163    203.00
  79.2250  15.9163    187.00
  79.2417  15.9163    169.00
  79.2583  15.9163    163.00
  79.2750  15.9163    173.00
  79.2917  15.9163    153.00
  79.3083  15.9163    143.00
  79.3250  15.9163    141.00
  79.3417  15.9163    135.00
  79.3583  15.9163    129.00
  79.3750  15.9163    123.00
  79.3917  15.9163    117.00
  79.4083  15.9163    115.00
  79.4250  15.9163    119.00
  79.4417  15.9163    127.00
  79.4583  15.9163    125.00
  79.4750  15.9163    133.00
  79.4917  15.9163    129.00
  79.5083  15.9163    167.00
  79.5250  15.9163    165.00
  79.5417  15.9163    147.00
  79.5583  15.9163    131.00
  79.5750  15.9163    119.00
  79.5917  15.9163    111.00
  79.6083  15.9163    113.00
  79.6250  15.9163    115.00
  79.6417  15.9163    109.00
  79.6583  15.9163    115.00
  79.6750  15.9163    121.00
  79.6917  15.9163    115.00
  79.7083  15.9163    109.00
  79.7250  15.9163    105.00
  79.7417  15.9163     97.00
  79.7583  15.9163     91.00
  79.7750  15.9163     79.00
  79.7917  15.9163     71.00
  79.8083  15.9163     65.00
  79.8250  15.9163     61.00
  79.8417  15.9163     57.00
  79.8583  15.9163     51.00
  79.8750  15.9163     47.00
  79.8917  15.9163     51.00
  79.9083  15.9163     55.00
  79.9250  15.9163     63.00
  79.9417  15.9163     65.00
  79.9583  15.9163     55.00
  79.9750  15.9163     51.00
  79.9917  15.9163     61.00
  80.0083  15.9163     83.00
  78.0083  15.9003    299.00
  78.0250  15.9003    301.00
  78.0417  15.9003    309.00
  78.0583  15.9003    305.00
  78.0750  15.9003    309.00
  78.0917  15.9003    305.00
  78.1083  15.9003    299.00
  78.1250  15.9003    291.00
  78.1417  15.9003    283.00
  78.1583  15.9003    275.00
  78.1750  15.9003    265.00
  78.1917  15.9003    267.00
  78.2083  15.9003    275.00
  78.2250  15.9003    279.00
  78.2417  15.9003    273.00
  78.2583  15.9003    279.00
  78.2750  15.9003    289.00
  78.2917  15.9003    299.00
  78.3083  15.9003    303.00
  78.3250  15.9003    293.00
  78.3417  15.9003    291.00
  78.3583  15.9003    287.00
  78.3750  15.9003    279.00
  78.3917  15.9003    271.00
  78.4083  15.9003    269.00
  78.4250  15.9003    273.00
  78.4417  15.9003    267.00
  78.4583  15.9003    275.00
  78.4750  15.9003    283.00
  78.4917  15.9003    291.00
  78.5083  15.9003    291.00
  78.5250  15.9003    287.00
  78.5417  15.9003    285.00
  78.5583  15.9003    287.00
  78.5750  15.9003    289.00
  78.5917  15.9003    289.00
  78.6083  15.9003    291.00
  78.6250  15.9003    295.00
  78.6417  15.9003    299.00
  78.6583  15.9003    303.00
  78.6750  15.9003    309.00
  78.6917  15.9003    321.00
  78.7083  15.9003    339.00
  78.7250  15.9003    359.00
  78.7417  15.9003    391.00
  78.7583  15.9003    525.00
  78.7750  15.9003    595.00
  78.7917  15.9003    581.00
  78.8083  15.9003    621.00
  78.8250  15.9003    677.00
  78.8417  15.9003    739.00
  78.8583  15.9003    693.00
  78.8750  15.9003    661.00
  78.8917  15.9003    643.00
  78.9083  15.9003    589.00
  78.9250  15.9003    397.00
  78.9417  15.9003    331.00
  78.9583  15.9003    321.00
  78.9750  15.9003    307.00
  78.9917  15.9003    363.00
  79.0083  15.9003    369.00
  79.0250  15.9003    341.00
  79.0417  15.9003    287.00
  79.0583  15.9003    239.00
  79.0750  15.9003    227.00
  79.0917  15.9003    219.00
  79.1083  15.9003    207.00
  79.1250  15.9003    201.00
  79.1417  15.9003    199.00
  79.1583  15.9003    201.00
  79.1750  15.9003    195.00
  79.1917  15.9003    189.00
  79.2083  15.9003    183.00
  79.2250  15.9003    175.00
  79.2417  15.9003    167.00
  79.2583  15.9003    159.00
  79.2750  15.9003    159.00
  79.2917  15.9003    163.00
  79.3083  15.9003    139.00
  79.3250  15.9003    133.00
  79.3417  15.9003    131.00
  79.3583  15.9003    129.00
  79.3750  15.9003    121.00
  79.3917  15.9003    121.00
  79.4083  15.9003    125.00
  79.4250  15.9003    123.00
  79.4417  15.9003    141.00
  79.4583  15.9003    181.00
  79.4750  15.9003    149.00
  79.4917  15.9003    173.00
  79.5083  15.9003    167.00
  79.5250  15.9003    149.00
  79.5417  15.9003    141.00
  79.5583  15.9003    133.00
  79.5750  15.9003    123.00
  79.5917  15.9003    123.00
  79.6083  15.9003    121.00
  79.6250  15.9003    127.00
  79.6417  15.9003    123.00
  79.6583  15.9003    117.00
  79.6750  15.9003    151.00
  79.6917  15.9003    135.00
  79.7083  15.9003    119.00
  79.7250  15.9003    111.00
  79.7417  15.9003    105.00
  79.7583  15.9003     91.00
  79.7750  15.9003     83.00
  79.7917  15.9003     77.00
  79.8083  15.9003     73.00
  79.8250  15.9003     67.00
  79.8417  15.9003     59.00
  79.8583  15.9003     51.00
  79.8750  15.9003     47.00
  79.8917  15.9003     43.00
  79.9083  15.9003     47.00
  79.9250  15.9003     53.00
  79.9417  15.9003     59.00
  79.9583  15.9003     47.00
  79.9750  15.9003     53.00
  79.9917  15.9003     65.00
  80.0083  15.9003     65.00
  78.0083  15.8843    289.00
  78.0250  15.8843    299.00
  78.0417  15.8843    301.00
  78.0583  15.8843    297.00
  78.0750  15.8843    301.00
  78.0917  15.8843    303.00
  78.1083  15.8843    293.00
  78.1250  15.8843    283.00
  78.1417  15.8843    271.00
  78.1583  15.8843    269.00
  78.1750  15.8843    271.00
  78.1917  15.8843    279.00
  78.2083  15.8843    291.00
  78.2250  15.8843    297.00
  78.2417  15.8843    287.00
  78.2583  15.8843    285.00
  78.2750  15.8843    295.00
  78.2917  15.8843    305.00
  78.3083  15.8843    305.00
  78.3250  15.8843    299.00
  78.3417  15.8843    293.00
  78.3583  15.8843    287.00
  78.3750  15.8843    279.00
  78.3917  15.8843    277.00
  78.4083  15.8843    271.00
  78.4250  15.8843    277.00
  78.4417  15.8843    269.00
  78.4583  15.8843    275.00
  78.4750  15.8843    283.00
  78.4917  15.8843    287.00
  78.5083  15.8843    285.00
  78.5250  15.8843    283.00
  78.5417  15.8843    285.00
  78.5583  15.8843    285.00
  78.5750  15.8843    287.00
  78.5917  15.8843    293.00
  78.6083  15.8843    295.00
  78.6250  15.8843    297.00
  78.6417  15.8843    301.00
  78.6583  15.8843    305.00
  78.6750  15.8843    309.00
  78.6917  15.8843    319.00
  78.7083  15.8843    329.00
  78.7250  15.8843    367.00
  78.7417  15.8843    377.00
  78.7583  15.8843    397.00
  78.7750  15.8843    413.00
  78.7917  15.8843    443.00
  78.8083  15.8843    559.00
  78.8250  15.8843    629.00
  78.8417  15.8843    647.00
  78.8583  15.8843    697.00
  78.8750  15.8843    581.00
  78.8917  15.8843    435.00
  78.9083  15.8843    413.00
  78.9250  15.8843    357.00
  78.9417  15.8843    383.00
  78.9583  15.8843    315.00
  78.9750  15.8843    343.00
  78.9917  15.8843    343.00
  79.0083  15.8843    321.00
  79.0250  15.8843    387.00
  79.0417  15.8843    385.00
  79.0583  15.8843    283.00
  79.0750  15.8843    247.00
  79.0917  15.8843    217.00
  79.1083  15.8843    217.00
  79.1250  15.8843    203.00
  79.1417  15.8843    195.00
  79.1583  15.8843    191.00
  79.1750  15.8843    189.00
  79.1917  15.8843    201.00
  79.2083  15.8843    179.00
  79.2250  15.8843    171.00
  79.2417  15.8843    163.00
  79.2583  15.8843    157.00
  79.2750  15.8843    167.00
  79.2917  15.8843    145.00
  79.3083  15.8843    141.00
  79.3250  15.8843    139.00
  79.3417  15.8843    133.00
